name,constituency,so_do_wo,age,party,assets,liabilities
KOTA SHYAM KUMAR,KARIMNAGAR  (KARIMNAGAR),K.Laxmirajam,36,IND,Lok Sabha 2019,"Rs75,000"
LAKKAM AJAY,CHOPPADANDI (SC)  (KARIMNAGAR),Lakkam Anjaiah,35,Vidhyarthula Rajakiya Party,"Rs 3,33,459",Nil
MADHAVARANI BARIGE,HUZURABAD  (KARIMNAGAR),Gattaiah,39,IND,"Rs 70,46,000","Rs 5,20,000"
MEDIPALLY SATHYAM(Winner),CHOPPADANDI (SC)  (KARIMNAGAR),BHUPAL,44,INC,Telangana 2018,"Rs79,33,332"
MODUMPALLI SRIKANTH,KARIMNAGAR  (KARIMNAGAR),Rajaiah,27,Dharma Samaj Party,"Rs 10,000",Nil
MOHAN DURGAM,KARIMNAGAR  (KARIMNAGAR),Mallaiah,51,Bahujan Mukti Party,Telangana 2018,"Rs11,72,000"
MOIN MECHANIK,KARIMNAGAR  (KARIMNAGAR),Sayyed Rahemoddin,41,IND,"Rs 2,20,000",Nil
MOLUGU VENKATESH,HUZURABAD  (KARIMNAGAR),Ailaiah,39,New India Party,"Rs 62,000",Nil
MOUTAM SAMPATH,HUZURABAD  (KARIMNAGAR),Ramulu,33,Alliance of Democratic Reforms Party,Telangana 2018,"Rs5,21,000"
NALLALA SRINIVAS,KARIMNAGAR  (KARIMNAGAR),Laxman,34,BSP,"Rs 16,11,500",Nil
NARMADA THOTAPALLY,KARIMNAGAR  (KARIMNAGAR),Praveen Sirikonda,31,Pyramid Party of India,"Rs 10,000",Nil
NISANI RAMACHANDRAM,MANAKONDUR (SC)  (KARIMNAGAR),Narasaiah,40,BSP,Telangana 2018,"Rs4,60,318"
NISHANI KRISHNA,MANAKONDUR (SC)  (KARIMNAGAR),Nishani Ellaiah,40,Bharatha Chaitanya Yuvajana Party,"Rs 30,000",Nil
PALLE PRASHANTH GOUD,HUZURABAD  (KARIMNAGAR),Buchhiramjam,32,BSP,Lok Sabha 2019,"Rs36,56,900"
PALLELLA DEVARAJU,KARIMNAGAR  (KARIMNAGAR),Pallela Jampaiah,46,IND,"Rs 18,51,200","Rs 7,00,000"
PURUMALLA SRINIVAS,KARIMNAGAR  (KARIMNAGAR),Purumalla Hanmanthu,50,INC,"Rs 2,14,91,882","Rs 6,25,400"
RAMESHBABU SHANIGARAPU,HUZURABAD  (KARIMNAGAR),Yada giri,39,Baliraja Party,"Rs 8,000",Nil
RAPOLE RAM KUMAR BHARADWAJ,HUZURABAD  (KARIMNAGAR),Rapole Hanmatha Rao,51,IND,"Rs 1,21,86,695",Nil
RAVI SHANKAR SUNKE,CHOPPADANDI (SC)  (KARIMNAGAR),Raghavulu,53,BRS,Telangana 2018,"Rs20,31,455"
SHAFI,KARIMNAGAR  (KARIMNAGAR),Syed Shamshad,39,IND,"Rs 30,000",Nil
SHANIGARAPU YUVARAJU,MANAKONDUR (SC)  (KARIMNAGAR),Chandraiah,31,IND,"Rs 6,01,475","Rs 70,000"
SHOBHA GALANNA BODIGA,CHOPPADANDI (SC)  (KARIMNAGAR),GALAIAH BODIGA,49,BJP,Telangana 2018,"Rs3,56,35,747"
SRIKANTH SILIVERU,HUZURABAD  (KARIMNAGAR),Siliveru Rajaiah,38,IND,Lok Sabha 2019,"Rs35,000"
THEETY SUDHAKAR RAO,KARIMNAGAR  (KARIMNAGAR),Balaiah,50,IND,"Rs 15,000",Nil
THIRUPATHI BAVU,HUZURABAD  (KARIMNAGAR),Komariah,43,Bharatha Chaitanya Yuvajana Party,"Rs 16,40,000",Nil
THODETI PAVITHRA,MANAKONDUR (SC)  (KARIMNAGAR),Narsaiah,30,Socialist Party (India),"Rs 60,000","Rs 50,000"
VEERASWAMY GOUD JAKKE,HUZURABAD  (KARIMNAGAR),Rajaveeru,48,Marxist Communist Party of India (United),"Rs 48,08,000","Rs 55,000"
VIJAY KUMAR MUTHYALA,CHOPPADANDI (SC)  (KARIMNAGAR),Late Muthyala swamy Das,47,All India Forward Bloc,"Rs 3,52,01,000","Rs 4,00,000"
VODITALA PRANAV,HUZURABAD  (KARIMNAGAR),Srinivasa Rao,35,INC,"Rs 11,57,71,768","Rs 95,73,893"
ACHUTA RAO NELLURI,PALAIR  (KHAMMAM),Gopaiah Nelluri,63,IND,"Rs 1,41,70,125","Rs 1,09,141"
AJAY KUMAR PUVVADA,KHAMMAM  (KHAMMAM),Nageshwar Rao Puvvada,58,BRS,Telangana 2018,"Rs27,49,03,867"
AJAYA KUMAR ANNABATHULA,KHAMMAM  (KHAMMAM),Venkateshwar Rao,51,IND,"Rs 12,08,100","Rs 7,10,000"
AJMEERA KISHAN,PALAIR  (KHAMMAM),Ajmeera Ramla,40,IND,"Rs 47,62,000","Rs 1,34,000"
AKULA PAUL,SATHUPALLE (SC)  (KHAMMAM),Punnaiah,40,Pyramid Party of India,Lok Sabha 2019,"Rs40,140"
ALLIKA VENKATESWAR RAO,PALAIR  (KHAMMAM),Allika Pullaiah,50,BSP,"Rs 31,21,70,000","Rs 3,91,11,800"
AMARAGANI MALSOOR GOUD,PALAIR  (KHAMMAM),Amaragani Veeraswamy,51,IND,"Rs 23,30,000",Nil
AMBOJU BUDDAIAH,MADHIRA (SC)  (KHAMMAM),Sailu,40,Alliance of Democratic Reforms Party,"Rs 17,33,000",Nil
AMBOJU SUMALATHA,SATHUPALLE (SC)  (KHAMMAM),Buddiah,38,Alliance of Democratic Reforms Party,"Rs 17,33,000",Nil
ANTHONI SURESH,KHAMMAM  (KHAMMAM),Anthoni Gopal,36,IND,"Rs 1,90,000",Nil
BALAVANTHAPU KALYAN KUMAR,MADHIRA (SC)  (KHAMMAM),Brahmam,31,Pyramid Party of India,Telangana 2018,"Rs90,000"
BANALA LAXMANA CHARY,KHAMMAM  (KHAMMAM),Veeraiah Chary,57,IND,"Rs 10,000",Nil
BANOTH DURGA PRASAD,WYRA (ST)  (KHAMMAM),Lalu,30,Indian Praja Congress,"Rs 3,00,000","Rs 20,000"
BANOTH PRASAD,KHAMMAM  (KHAMMAM),Banoth Balu,26,IND,"Rs 25,000",Nil
BARI ASHOK,PALAIR  (KHAMMAM),LINGAIAH,28,IND,"Rs 2,90,000","Rs 1,10,000"
BATHULA NAGESH,KHAMMAM  (KHAMMAM),Late Nagaiah,36,Bahujan Republican Socialist Party,"Rs 1,16,21,441","Rs 52,40,000"
BHAIRAVABHOTLA SRINIVASA RAO,PALAIR  (KHAMMAM),Seshagiri Rao,56,IND,"Rs 50,42,150",Nil
BHARATHI MACHARLA,SATHUPALLE (SC)  (KHAMMAM),Gopal,60,CPI(M),Telangana 2018,"Rs54,66,000"
BHASKAR PALADUGU,MADHIRA (SC)  (KHAMMAM),China Venkaiah,51,CPI(M),"Rs 12,79,426",Nil
BHATTI VIKRAMARKA MALLU(Winner),MADHIRA (SC)  (KHAMMAM),Akhilanda Mallu,63,INC,Telangana 2018,"Rs4,41,56,604"
BHUKYA PARVATHI,PALAIR  (KHAMMAM),Tirupati Rao,37,IND,"Rs 65,000",Nil
BHUKYA VEERABHADRAM,WYRA (ST)  (KHAMMAM),Samya,44,CPI(M),"Rs 11,96,000",Nil
BOMMERA RAMAMURTHY,MADHIRA (SC)  (KHAMMAM),Pothaiah,49,All India Forward Bloc,Telangana 2014,"Rs31,14,742"
DULAM VENKATNARAYANA,PALAIR  (KHAMMAM),Somaiah,47,Prajavani Party,"Rs 1,94,36,000","Rs 41,00,000"
EDURUGATTLA CHITTI MALLU,PALAIR  (KHAMMAM),China Sailu,40,IND,"Rs 21,40,000",Nil
GADDAM VEERABABU,PALAIR  (KHAMMAM),Gaddam Venkanna,32,IND,"Rs 10,00,000",Nil
GOPOJU RAMESH,PALAIR  (KHAMMAM),Nagulu,46,IND,Lok Sabha 2019,"Rs20,000"
GUDIKANDULA SATYANARAYANA,KHAMMAM  (KHAMMAM),Gudikandula Kotaiah,53,IND,"Rs 15,70,000",Nil
GUGULOTH BHAVSINGH,WYRA (ST)  (KHAMMAM),G Lalu,31,Vidhyarthula Rajakiya Party,"Rs 3,65,000",Nil
GUGULOTH THAVURYA,WYRA (ST)  (KHAMMAM),Late Ramulu,43,IND,"Rs 23,40,000","Rs 1,00,000"
GUNTI NAGARAJU,KHAMMAM  (KHAMMAM),Veeraiah,39,IND,"Rs 14,96,000",Nil
GURRAM SATYANARAYANA,KHAMMAM  (KHAMMAM),Prasad,42,IND,"Rs 1,45,400",Nil
HALAVATH RAMA RAO,PALAIR  (KHAMMAM),Halavath Chandru,43,Pyramid Party of India,"Rs 91,000",Nil
INAPANURI DURGA,KHAMMAM  (KHAMMAM),Venkateswarlu,40,IND,"Rs 5,000",Nil
INAPANURI RUBEN PRADEEP KUMAR,MADHIRA (SC)  (KHAMMAM),Late Benjamin Jayakar,61,IND,"Rs 1,02,96,582","Rs 25,00,000"
ISANAPALLI RAMA RAO,SATHUPALLE (SC)  (KHAMMAM),Devanandham,45,IND,"Rs 2,00,000",Nil
JADI CHOKKARAO,SATHUPALLE (SC)  (KHAMMAM),Mallaiah,51,IND,"Rs 8,33,100","Rs 4,00,000"
JAMEEL SHAIK,KHAMMAM  (KHAMMAM),Shaik Jain Miya,46,IND,Telangana 2018,"Rs2,81,000"
K BALA PRASAD,SATHUPALLE (SC)  (KHAMMAM),Ramulu,40,Sakala Janula Party,"Rs 1,86,533","Rs 2,11,513"
KAMAL RAJU LINGALA,MADHIRA (SC)  (KHAMMAM),Gnanaiah,52,BRS,Telangana 2018,"Rs46,75,000"
KANAKAPUDI NAGARJUNA,SATHUPALLE (SC)  (KHAMMAM),Late Kanakapudi Ramu,38,IND,"Rs 94,50,000","Rs 17,56,000"
KANAKAPUDI NAGESWARA RAO,MADHIRA (SC)  (KHAMMAM),Venkateshwaru,42,Yuva Taram Party,"Rs 1,25,000",Nil
KANAKAPUDI STANLY JONATHAN,MADHIRA (SC)  (KHAMMAM),Kanakapudi Jacob,63,IND,"Rs 10,97,000",Nil
KANDALA UPENDER REDDY,PALAIR  (KHAMMAM),K Narasimha reddy,62,BRS,"Rs 89,57,71,603","Rs 1,34,08,42,361"
KOINI AMARENDRA,PALAIR  (KHAMMAM),Venkanna,32,IND,"Rs 12,20,161",Nil
KOLIKAPOGU SWAMY,SATHUPALLE (SC)  (KHAMMAM),Kolikapogu Venkteswara  Rao,52,Bharatha Chaitanya Yuvajana Party,"Rs 8,200",Nil
KOPPULA SREENIVASA RAO,MADHIRA (SC)  (KHAMMAM),Koppula Venkateshwarlu,52,Praja Shanthi Party,"Rs 5,78,000","Rs 8,75,000"
KOTHAPALLI BABU,MADHIRA (SC)  (KHAMMAM),Kothapalli Maisaiah,40,IND,Telangana 2018,Nil
KUKKALA AJAY HARDIK,KHAMMAM  (KHAMMAM),Chinna Yesobu,40,IND,"Rs 9,73,457","Rs 20,700"
KUKKALA NAGAIAH,PALAIR  (KHAMMAM),Venkaiah,32,Alliance of Democratic Reforms Party,"Rs 5,95,000",Nil
KUKKALA NAGAMANI,KHAMMAM  (KHAMMAM),Nagaiah,26,Alliance of Democratic Reforms Party,"Rs 5,95,000",Nil
LAJAR BIRELLI,SATHUPALLE (SC)  (KHAMMAM),Muthaiah,63,IND,"Rs 42,05,684",Nil
LIKKI KRISHNA RAO,KHAMMAM  (KHAMMAM),Hanumanthu,69,Bahujana Left Party,"Rs 32,20,000",Nil
MADANLAL BANOTH,WYRA (ST)  (KHAMMAM),B. Man Singh,60,BRS,Telangana 2018,"Rs2,22,25,055"
MADUGULA CHINA KRISHNAIAH,SATHUPALLE (SC)  (KHAMMAM),Venkateswarlu,46,IND,"Rs 1,33,30,000","Rs 25,96,476"
MALOTHU SYAMLAL NAYAK,WYRA (ST)  (KHAMMAM),Nageshwar Rao,35,Alliance of Democratic Reforms Party,"Rs 15,90,000",Nil
MARAKAPUDI SRINIVASULU,KHAMMAM  (KHAMMAM),Marakapudi Nagaseshadas,63,IND,"Rs 30,25,805",Nil
MARUTHI BABU. KESANI,PALAIR  (KHAMMAM),kesani Rama Rao,45,IND,"Rs 7,16,50,133","Rs 2,98,00,000"
MATTA RAGAMAYEE(Winner),SATHUPALLE (SC)  (KHAMMAM),Dayanand Vijya Kumar,52,INC,"Rs 1,92,41,001",Nil
MATTI PRASAD,PALAIR  (KHAMMAM),Lt. Badraiah,33,Bahujan Mukti Party,"Rs 25,58,500","Rs 80,000"
MEDI BASAVAIAH,SATHUPALLE (SC)  (KHAMMAM),Nanaiah,41,Dharma Samaj Party,"Rs 11,24,096","Rs 56,000"
MIKKILI GANDHI,SATHUPALLE (SC)  (KHAMMAM),Mikkili somaih,36,Bahujan Mukti Party,"Rs 10,500",Nil
MIRIYALA RAMAKRISHNA,KHAMMAM  (KHAMMAM),Miriyala Venkateshwara Rao,28,Janasena Party,"Rs 1,22,500",Nil
MODUGU CHALAPATHI RAO,SATHUPALLE (SC)  (KHAMMAM),Thirupaiah,44,Aazad Samaj Party (Kanshi Ram),"Rs 5,00,000","Rs 9,00,000"
MUTYAM ARJUN RAJU,KHAMMAM  (KHAMMAM),Mutyam Rama Raju,35,IND,Lok Sabha 2019,"Rs24,50,000"
NAKIRIKANTI SURESH KUMAR,KHAMMAM  (KHAMMAM),Sanjeevarao,29,IND,"Rs 81,000",Nil
NAMA VIJAY,SATHUPALLE (SC)  (KHAMMAM),Venkateswarlu Nama,35,IND,"Rs 23,000",Nil
NAMBURI RAMALINGESWARA RAO,SATHUPALLE (SC)  (KHAMMAM),Kantha Rao,53,BJP,"Rs 2,96,09,000","Rs 73,00,000"
NARAPOGU DEEPTHI,SATHUPALLE (SC)  (KHAMMAM),Kante Kesava Rao,30,IND,"Rs 3,85,026",Nil
NAZIMA BEGUM,KHAMMAM  (KHAMMAM),Shaik Azam,39,IND,"Rs 6,96,000","Rs 1,00,000"
NOONAVATH VEERU,WYRA (ST)  (KHAMMAM),Bicha,37,CPI(ML)(L),Nil,Nil
PALVANCHA RAMARAO,KHAMMAM  (KHAMMAM),Palvancha Kotaiah,68,All India Forward Bloc,Lok Sabha 2019,"Rs1,32,80,000"
PAMBA SURYANARAYANA,PALAIR  (KHAMMAM),Pullaiah,39,IND,"Rs 2,00,000",Nil
PAPETLA RAMAMURTHY,PALAIR  (KHAMMAM),Gopaiah,43,Sakala Janula Party,"Rs 2,55,000","Rs 8,90,000"
PASUMARTHY SRINIVAS,PALAIR  (KHAMMAM),Lakxmaiah,42,IND,"Rs 3,00,000","Rs 3,00,000"
PATHAKOTI ARUNA,SATHUPALLE (SC)  (KHAMMAM),Late. Venkateshwarlu,67,IND,"Rs 2,29,85,000",Nil
PERUMALLAPALLI VIJAYARAJU,MADHIRA (SC)  (KHAMMAM),DEVA RAJU PERUMALLAPALLI,49,BJP,"Rs 20,28,000",Nil
PONGULETI SRINIVASA REDDY(Winner),PALAIR  (KHAMMAM),Late Raghava Reddy,58,INC,Loksabha 2014,"Rs34,61,50,516"
PRASAD BABU NARAPOGU,SATHUPALLE (SC)  (KHAMMAM),Bhusanam,41,Mana Telangana Rashtra Samaikya Party,Nil,Nil
PRASAD KOMMA,PALAIR  (KHAMMAM),Rosaiah,39,Dalita Bahujana Party,"Rs 70,000",Nil
RAICE ANWAR,KHAMMAM  (KHAMMAM),Late Mohammed Khasim,50,IND,Telangana 2018,"Rs14,00,000"
RAJENDAR ISLAVATH,PALAIR  (KHAMMAM),Pentya Islavath,30,IND,"Rs 4,71,000",Nil
RAMA DASU MARKAPUDI,MADHIRA (SC)  (KHAMMAM),Raghupathi Markapudi,49,IND,Telangana 2018,"Rs9,07,500"
RAMACHANDRAIAH JANGAM,MADHIRA (SC)  (KHAMMAM),Venkaiah Jangam,70,IND,Nil,Nil
RAMALA SWARUPA,KHAMMAM  (KHAMMAM),Late Ramala Antony,40,Indian Believers Party (IBP),"Rs 10,000",Nil
RAMASAHAYAM MADHAVI REDDY,PALAIR  (KHAMMAM),Lt. Ramasahayam Jayanth Reddy,55,IND,"Rs 63,30,000","Rs 11,00,000"
RAMAVAJHALA RAVI KUMAR,KHAMMAM  (KHAMMAM),R.Krishna Murthy,63,IND,"Rs 54,30,759",Nil
RAMBABU BHANOTHU,WYRA (ST)  (KHAMMAM),Hari Singh,36,BSP,"Rs 1,18,35,923","Rs 2,93,000"
RAMDAS MALOTH(Winner),WYRA (ST)  (KHAMMAM),Hanuma Maloth,59,INC,"Rs 3,38,57,323","Rs 15,20,609"
RAMIREDDY SUNKI REDDY,PALAIR  (KHAMMAM),Sathireddy,42,IND,"Rs 25,96,000","Rs 80,000"
RAMULU VARSA,WYRA (ST)  (KHAMMAM),Mallayya,52,IND,"Rs 11,70,000","Rs 60,000"
RAVI KUMAR NUNNA,PALAIR  (KHAMMAM),Venkataiah Nunna,49,BJP,"Rs 33,11,000","Rs 2,50,000"
RAVINDAR ISLAVATH @ ISLAVATH RAVINDAR NAIK,PALAIR  (KHAMMAM),Islavath Kista,44,IND,Telangana 2023,"Rs52,25,000"
RODDA SHIVAIAH,KHAMMAM  (KHAMMAM),Yallaiah,63,Dalita Bahujana Party,"Rs 1,15,000",Nil
SAILAJA KATEPALLI,KHAMMAM  (KHAMMAM),Katepalli Venkateshwarlu,53,Pyramid Party of India,"Rs 1,60,90,000","Rs 8,00,000"
SAMPATH NAIK,WYRA (ST)  (KHAMMAM),Sh. Bheemudu Tejavath,36,Janasena Party,"Rs 33,29,769","Rs 20,00,000"
SANDRA VENKATA VEERAIAH,SATHUPALLE (SC)  (KHAMMAM),Bhiksham,56,BRS,Telangana 2018,"Rs1,40,57,827"
SANJEEVA RAO MANDA,PALAIR  (KHAMMAM),MANDA RAMAIAH,50,IND,"Rs 12,55,000",Nil
SEELAM VENKATESWARA RAO,SATHUPALLE (SC)  (KHAMMAM),Rama Kotaiah,54,BSP,"Rs 70,18,492","Rs 32,83,268.26"
SEEMA RAMBABU,KHAMMAM  (KHAMMAM),Veerabhadram,41,IND,Tripura 2023,"Rs4,36,82,067"
SHABNAM,KHAMMAM  (KHAMMAM),Feroz Khan,39,Republican Party of India (A),"Rs 9,60,000",Nil
SHAIK SIRAJUDDIN,PALAIR  (KHAMMAM),Shaik Axeemuddin,34,IND,"Rs 2,00,000","Rs 25,000"
SHOBHAN BABU HALAVATH,PALAIR  (KHAMMAM),RAMDAS,45,IND,"Rs 20,000",Nil
SIDDELA RAMBABU,SATHUPALLE (SC)  (KHAMMAM),Jayaraju,34,IND,"Rs 80,000",Nil
SREENIVAS RAO AYITGANI,KHAMMAM  (KHAMMAM),Satyanarayana,41,BSP,Telangana 2014,"Rs45,00,000"
SREENIVASU ANNABATHULA,PALAIR  (KHAMMAM),Annabathula Ullepally,45,IND,"Rs 16,78,000","Rs 75,000"
STALIN CHILAKABATTINI,MADHIRA (SC)  (KHAMMAM),Mojesh,29,IND,"Rs 1,30,000",Nil
SUNIL YECHU,KHAMMAM  (KHAMMAM),Gopaiah,36,Vidhyarthula Rajakiya Party,Telangana 2018,"Rs13,26,400"
SURESH GUGULOTHU @ GUGULOTH SURESH,PALAIR  (KHAMMAM),Gugulothu Balu,27,IND,"Rs 7,10,000","Rs 1,55,000"
TEJAVATH BALAKRISHNA,PALAIR  (KHAMMAM),RAGHU,29,Bhartiya Swadeshi Congress,"Rs 3,82,500",Nil
TELAGAMALLA RAMBABU,PALAIR  (KHAMMAM),Acchanandam,42,IND,"Rs 51,10,000","Rs 4,00,000"
TUMMALA NAGESWARA RAO(Winner),KHAMMAM  (KHAMMAM),Laxmaiah,71,INC,Telangana 2018,"Rs12,20,10,178"
VANKUDOTH THIRUPATHI NAIK,PALAIR  (KHAMMAM),Vankudoth Dharma,34,IND,"Rs 15,52,000","Rs 5,00,000"
VEERABHADRAM THAMMINENI,PALAIR  (KHAMMAM),Subbaiah,69,CPI(M),"Rs 1,71,71,000",Nil
VEERAIAH CHIPPALAPALLI,SATHUPALLE (SC)  (KHAMMAM),Bikshamaiah,51,IND,"Rs 5,11,000",Nil
VENKATESWARLU DANASARI,WYRA (ST)  (KHAMMAM),Ramulu,37,Gondwana Dandkaranya Party,"Rs 14,76,000","Rs 11,10,000"
VENKATESWARLU KAMPATI,PALAIR  (KHAMMAM),Jagannadhan,45,Marxist Communist Party of India (United),"Rs 7,76,829",Nil
VIKAS MANDHADAPU,KHAMMAM  (KHAMMAM),Srinivas Roa Mandhadapu,28,Yuga Thulasi Party,"Rs 26,71,892","Rs 5,00,000"
YARRA SRIKANTH,KHAMMAM  (KHAMMAM),Pullaiah,60,CPI(M),"Rs 2,72,78,913",Nil
AJMEERA ATHMARAO,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Chandru,38,BJP,Telangana 2018,"Rs20,50,000"
AJMERA RAM NAYAK,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Ajimere Ram Nayak,46,Praja Shanthi Party,Telangana 2018,"Rs1,22,90,000"
AJMERA SHYAM,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Ajmera Bheelya Naik,53,INC,"Rs 12,59,43,031","Rs 2,33,55,205"
ATHRAM GOVARDHAN,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Athram Lachu,66,Gondvana Gantantra Party,"Rs 1,27,00,000","Rs 15,28,000"
BHUKYA PALLAVI,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Bhukya Raju,40,Bahujan Mukti Party,"Rs 10,74,900","Rs 3,00,000"
DASARI VENKATESH,SIRPUR  (KOMARAM BHEEM ASIFABAD),Late Dasari Nanaiah,43,IND,Telangana 2018,"Rs29,67,800"
DONGRI PRAVEEN KUMAR,SIRPUR  (KOMARAM BHEEM ASIFABAD),Late Pentaiah,33,All India Forward Bloc,"Rs 7,99,800",Nil
DR.DESHAGANI SAMBASHIVA GOUD,SIRPUR  (KOMARAM BHEEM ASIFABAD),Guravaiah Deshagani,45,IND,Telangana 2023,"Rs1,74,23,000"
DR.PALVAI HARISH BABU(Winner),SIRPUR  (KOMARAM BHEEM ASIFABAD),Late PURUSHOTHAM RAO PALAVI,44,BJP,Telangana 2018,"Rs1,65,20,000"
GAMTIDAS KHOBRAGADE,SIRPUR  (KOMARAM BHEEM ASIFABAD),Late Punaji,51,New India Party,"Rs 13,35,000","Rs 2,60,000"
GOVIND BUKYA,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Deka ji Bukiya,37,Janata Congress,"Rs 8,02,000",Nil
JADI DEEPAK,SIRPUR  (KOMARAM BHEEM ASIFABAD),Shivaram,39,Republican Party of India,"Rs 4,07,000",Nil
KAMRA NAGESH,SIRPUR  (KOMARAM BHEEM ASIFABAD),Kamra Rajaiah,33,India Praja Bandhu Party,"Rs 75,148",Nil
KANAKA PRABHAKAR,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Bheem Rao,44,BSP,"Rs 19,03,254","Rs 75,000"
KONERU KONAPPA,SIRPUR  (KOMARAM BHEEM ASIFABAD),Late Suryanarayana,69,BRS,Telangana 2018,"Rs75,86,155"
KOTNAKA KISHANRAO,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Paikaji Rao,45,IND,"Rs 10,21,000","Rs 70,000"
KOTNAKA VIJAY KUMAR,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Bojji Rao,40,IND,Telangana 2018,"Rs57,88,000"
KOVA LAXMI(Winner),ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Kova Sone Rao,53,BRS,Telangana 2018,"Rs1,24,63,000"
MESRAM NAVEEN KUMAR,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Uddav,32,IND,"Rs 7,51,000",Nil
NUNAVAT TIRUPATI,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Bheemudu,34,Vidhyarthula Rajakiya Party,"Rs 90,000",Nil
PARCHAKI KESHAV RAO,SIRPUR  (KOMARAM BHEEM ASIFABAD),Late Bapu Rao,50,Gondvana Gantantra Party,"Rs 8,41,000","Rs 1,30,000"
PUSAM SONERAO,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Pusam Jangu,26,IND,"Rs 10,000",Nil
R.S. PRAVEEN KUMAR,SIRPUR  (KOMARAM BHEEM ASIFABAD),Late B.R. Savaranna,56,BSP,"Rs 1,26,00,644",Nil
RAMTENKI AJAY KUMAR,SIRPUR  (KOMARAM BHEEM ASIFABAD),Late Srihari,41,Prabuddha Republican Party,"Rs 10,55,000","Rs 10,00,000"
REBBANA NAGARAJU,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Lingaiah,37,IND,"Rs 2,62,000","Rs 15,000"
RRAAVI SRINWASS,SIRPUR  (KOMARAM BHEEM ASIFABAD),Ram Mohan Rao,49,INC,Telangana 2018,"Rs63,59,921"
SHIDAM DHARMU,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),SHIDAM DHARMA,60,IND,"Rs 1,00,000",Nil
SIDAM ANNIGA,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Lethu,29,IND,"Rs 3,12,500","Rs 80,000"
VASANTH SINGH JADHAV,ASIFABAD (ST)  (KOMARAM BHEEM ASIFABAD),Lal Singh Jadhav,61,IND,"Rs 35,90,000","Rs 4,60,000"
YELUMULE MANOHAR,SIRPUR  (KOMARAM BHEEM ASIFABAD),Ravuji Yelumule,29,IND,"Rs 32,000",Nil
BADAVATH RAJESH,DORNAKAL (ST)  (MAHABUBABAD),Kishan Badavath,37,Republican Party of India,"Rs 35,26,500","Rs 8,50,000"
BANOTH SHANKAR NAIK,MAHABUBABAD (ST)  (MAHABUBABAD),Kevla Naik Banoth,58,BRS,Telangana 2018,"Rs8,47,86,487"
BANOTHU LINGANNA,DORNAKAL (ST)  (MAHABUBABAD),Banothu Harja,35,Blue India Party,"Rs 30,000",Nil
BATTU BINNAMMA,MAHABUBABAD (ST)  (MAHABUBABAD),Late Anjaiah,51,IND,"Rs 60,09,000","Rs 9,10,000"
BHUKYA GOPIKRISHNA,DORNAKAL (ST)  (MAHABUBABAD),Dasru,37,IND,Telangana 2018,"Rs70,000"
BHUKYA SANGEETHA,DORNAKAL (ST)  (MAHABUBABAD),Bhukya Ramesh,36,BJP,"Rs 1,75,11,998","Rs 58,31,361"
BITCHANAYAK JATOTH,MAHABUBABAD (ST)  (MAHABUBABAD),Gopya,52,Marxist Communist Party of India (United),"Rs 6,40,170",Nil
DHARAMSOTH REDYA NAIK,DORNAKAL (ST)  (MAHABUBABAD),Late Dharamsoth Ramu Naik,71,BRS,Telangana 2018,"Rs10,70,44,594"
DR. MURALI NAIK BHUKYA(Winner),MAHABUBABAD (ST)  (MAHABUBABAD),Mangya Naik Bhukya,57,INC,"Rs 6,21,94,707","Rs 35,87,411"
DV NAIK,MAHABUBABAD (ST)  (MAHABUBABAD),Hemla Dharavath,37,IND,"Rs 21,33,545","Rs 5,76,248"
GUGULOTH NARESH,DORNAKAL (ST)  (MAHABUBABAD),Guguloth Lal Singh,30,IND,"Rs 4,23,000",Nil
GUGULOTH PARVATHI NAIK,DORNAKAL (ST)  (MAHABUBABAD),Ramesh Gugulothu,32,BSP,"Rs 2,16,96,735","Rs 1,03,56,620"
GUGULOTH SHEKAR NAIK,MAHABUBABAD (ST)  (MAHABUBABAD),Guguloth Ravi,25,BSP,"Rs 24,10,000","Rs 5,60,000"
GUGULOTHU RAVINDAR,DORNAKAL (ST)  (MAHABUBABAD),Narayana,35,Bahujan Mukti Party,"Rs 53,38,500","Rs 2,52,000"
HUSSAIN NAIK JATOTHU,MAHABUBABAD (ST)  (MAHABUBABAD),Lachya Jatothu,41,BJP,Lok Sabha 2019,"Rs2,90,43,582"
JATOTH CHAKRAVARTHY,MAHABUBABAD (ST)  (MAHABUBABAD),Malsoor Dande,27,Dharma Samaj Party,"Rs 1,37,28,000",Nil
